Type,Country,Quantity (kg),Value (US$),Year
Vinhos de mesa,Chile,161736.0,95654.0,1972
Vinhos de mesa,China,,,1972
Vinhos de mesa,"Coreia do Sul, República",,,1972
Vinhos de mesa,Croácia,,,1972
Vinhos de mesa,Cuba,,,1972
Vinhos de mesa,Emirados Árabes Unidos,,,1972
Vinhos de mesa,Eslovênia,,,1972
Vinhos de mesa,Eslováquia,,,1972
Vinhos de mesa,Espanha,300582.0,116710.0,1972
Vinhos de mesa,Estados Unidos,2156.0,1337.0,1972
Vinhos de mesa,França,176688.0,173001.0,1972
Vinhos de mesa,Geórgia,,,1972
Vinhos de mesa,"Geórgia do Sul e Sandwich do Sul, Ilhas",,,1972
Vinhos de mesa,Grécia,,,1972
Vinhos de mesa,Hong Kong,,,1972
Vinhos de mesa,Hungria,,,1972
Vinhos de mesa,Indonésia,,,1972
Vinhos de mesa,Irlanda,,,1972
Vinhos de mesa,Israel,,,1972
Vinhos de mesa,Itália,142196.0,96943.0,1972
Vinhos de mesa,Japão,,,1972
Vinhos de mesa,Iugoslávia,1824.0,1137.0,1972
Vinhos de mesa,Líbano,,,1972
Vinhos de mesa,Luxemburgo,,,1972
Vinhos de mesa,Macedônia,,,1972
Vinhos de mesa,Marrocos,,,1972
Vinhos de mesa,México,,,1972
Vinhos de mesa,Moldávia,,,1972
Vinhos de mesa,Montenegro,,,1972
Vinhos de mesa,Noruega,,,1972
Vinhos de mesa,Nova Zelândia,,,1972
Vinhos de mesa,Países Baixos (Holanda),,,1972
Vinhos de mesa,Panamá,,,1972
Vinhos de mesa,Paraguai,,,1972
Vinhos de mesa,Peru,,,1972
Vinhos de mesa,Porto Rico,,,1972
Vinhos de mesa,Portugal,1650727.0,1226232.0,1972
Vinhos de mesa,Reino Unido,,,1972
Vinhos de mesa,Republica Dominicana,,,1972
Vinhos de mesa,Romênia,,,1972
Vinhos de mesa,Rússia,,,1972
Vinhos de mesa,San Marino,,,1972
Vinhos de mesa,Sérvia,,,1972
Vinhos de mesa,Síria,,,1972
Vinhos de mesa,Suazilândia,,,1972
Vinhos de mesa,Suíça,,,1972
Vinhos de mesa,"Tcheca, República",,,1972
Vinhos de mesa,Tunísia,,,1972
Vinhos de mesa,Turquia,,,1972
Vinhos de mesa,Ucrânia,,,1972
Vinhos de mesa,Uruguai,7394.0,2741.0,1972
Vinhos de mesa,Não consta na tabela,,,1972
Vinhos de mesa,Não declarados,,,1972
Vinhos de mesa,Outros,79052.0,25032.0,1972
Espumantes,Africa do Sul,,,1972
Espumantes,Alemanha,2864.0,2479.0,1972
Espumantes,Argentina,35301.0,26909.0,1972
Espumantes,Austrália,,,1972
Espumantes,Áustria,,,1972
Espumantes,Bermudas,,,1972
Espumantes,Bahamas,,,1972
Espumantes,Bélgica,,,1972
Espumantes,Brasil,,,1972
Espumantes,Bulgária,,,1972
Espumantes,Canada,,,1972
Espumantes,Chile,201.0,192.0,1972
Espumantes,Croácia,,,1972
Espumantes,Cuba,,,1972
Espumantes,Emirados Árabes Unidos,,,1972
Espumantes,Eslovênia,,,1972
Espumantes,Espanha,27461.0,20026.0,1972
Espumantes,Estados Unidos,,,1972
Espumantes,França,35899.0,97186.0,1972
Espumantes,Geórgia,,,1972
Espumantes,Granada,,,1972
Espumantes,Grécia,,,1972
Espumantes,Hong Kong,,,1972
Espumantes,Hungria,,,1972
Espumantes,Indonésia,,,1972
Espumantes,Irlanda,,,1972
Espumantes,Israel,,,1972
Espumantes,Itália,5054.0,3328.0,1972
Espumantes,Japão,,,1972
Espumantes,Luxemburgo,,,1972
Espumantes,México,,,1972
Espumantes,Moldávia,,,1972
Espumantes,Nova Zelândia,,,1972
Espumantes,Países Baixos,,,1972
Espumantes,Panamá,,,1972
Espumantes,Peru,,,1972
Espumantes,Portugal,12768.0,18479.0,1972
Espumantes,Reino Unido,,,1972
Espumantes,Romênia,,,1972
Espumantes,Suíça,,,1972
Espumantes,Tunísia,,,1972
Espumantes,Ucrânia,,,1972
Espumantes,Uruguai,,,1972
Espumantes,Não consta na tabela,,,1972
Espumantes,Não declarados,,,1972
Espumantes,Outros,576.0,454.0,1972
Uvas frescas,Argélia,,,1972
Uvas frescas,Argentina,1965010.0,779841.0,1972
Uvas frescas,Brasil,,,1972
Uvas frescas,Chile,1680664.0,578569.0,1972
Uvas frescas,Colômbia,,,1972
Uvas frescas,Egito,,,1972
Uvas frescas,Espanha,617898.0,209416.0,1972
Uvas frescas,Estados Unidos,17250.0,8980.0,1972
Uvas frescas,Grécia,58500.0,13009.0,1972
Uvas frescas,Itália,,,1972
Uvas frescas,México,,,1972
Uvas frescas,Peru,,,1972
Uvas frescas,Paraguai,,,1972
Uvas frescas,Portugal,1000.0,2069.0,1972
Uvas frescas,Panamá,50.0,51.0,1972
Uvas frescas,Reino Unido,120.0,85.0,1972
Uvas frescas,Uruguai,,,1972
Uvas frescas,Venezuela,3357.0,7565.0,1972
Uvas frescas,Não consta na tabela,,,1972
Uvas frescas,Outros,,,1972
Uvas passas,Afeganistão,,,1972
Uvas passas,África do Sul,,,1972
Uvas passas,"Alemanha, República Democrática",3000.0,3366.0,1972
Uvas passas,Arábia Saudita,,,1972
Uvas passas,Argentina,1047482.0,981648.0,1972
Uvas passas,Austrália,89025.0,52819.0,1972
Uvas passas,Bélgica,,,1972
Uvas passas,Chile,,,1972
Uvas passas,China,,,1972
Uvas passas,China Continental,,,1972
Uvas passas,Cingapura,,,1972
Uvas passas,Costa Rica,,,1972
Uvas passas,Emirados,,,1972
Uvas passas,Egito,,,1972
Uvas passas,Espanha,57208.0,59951.0,1972
Uvas passas,Estados Unidos,411443.0,456999.0,1972
Uvas passas,França,,,1972
Uvas passas,Grécia,369763.0,134178.0,1972
Uvas passas,Guiana Britânica,,,1972
Uvas passas,Índia,,,1972
Uvas passas,Irã,,,1972
Uvas passas,Itália,70000.0,20790.0,1972
Uvas passas,Japão,,,1972
Uvas passas,México,150827.0,120736.0,1972
Uvas passas,Países Baixos,,,1972
Uvas passas,Paraguai,,,1972
Uvas passas,Peru,,,1972
Uvas passas,Portugal,,,1972
Uvas passas,Reino Unido,276.0,249.0,1972
Uvas passas,Suécia,,,1972
Uvas passas,Turquia,556402.0,169087.0,1972
Uvas passas,Uruguai,,,1972
Uvas passas,Uzbequistão,,,1972
Uvas passas,Venezuela,,,1972
Uvas passas,Não consta na tabela,,,1972
Uvas passas,Outros,,,1972
Suco de uva,Africa do Sul,,,1972
Suco de uva,Alemanha,,,1972
Suco de uva,Argentina,,,1972
Suco de uva,Austria,,,1972
Suco de uva,Canadá,,,1972
Suco de uva,"Coreia do Sul, República",,,1972
Suco de uva,"Coreia do Norte, República",,,1972
Suco de uva,Chile,,,1972
Suco de uva,China,,,1972
Suco de uva,Dinamarca,20.0,8.0,1972
Suco de uva,Espanha,,,1972
Suco de uva,Estados Unidos,,,1972
Suco de uva,França,36.0,32.0,1972
Suco de uva,Guiana,,,1972
Suco de uva,Israel,,,1972
Suco de uva,itália,,,1972
Suco de uva,Japão,,,1972
Suco de uva,Líbano,,,1972
Suco de uva,México,,,1972
Suco de uva,Países Baixos,,,1972
Suco de uva,Panamá,,,1972
Suco de uva,Peru,,,1972
Suco de uva,Portugal,125.0,82.0,1972
Suco de uva,Reino Unido,458.0,189.0,1972
Suco de uva,Taiwan,,,1972
Suco de uva,Turquia,,,1972
Suco de uva,Uruguai,,,1972
Suco de uva,Venezuela,,,1972
Suco de uva,Outros,,,1972
Vinhos de mesa,Africa do Sul,,,1973
Vinhos de mesa,Alemanha,111523.0,98638.0,1973
Vinhos de mesa,Argélia,,,1973
Vinhos de mesa,Arábia Saudita,,,1973
Vinhos de mesa,Argentina,116887.0,76121.0,1973
Vinhos de mesa,Armênia,,,1973
Vinhos de mesa,Austrália,,,1973
Vinhos de mesa,Áustria,2310.0,2081.0,1973
Vinhos de mesa,Bermudas,,,1973
Vinhos de mesa,Bélgica,,,1973
Vinhos de mesa,Bolívia,,,1973
Vinhos de mesa,Bósnia-Herzegovina,,,1973
Vinhos de mesa,Brasil,,,1973
Vinhos de mesa,Bulgária,,,1973
Vinhos de mesa,Canada,,,1973
Vinhos de mesa,Chile,301559.0,212140.0,1973
Vinhos de mesa,China,,,1973
Vinhos de mesa,"Coreia do Sul, República",,,1973
Vinhos de mesa,Croácia,,,1973
Vinhos de mesa,Cuba,,,1973
Vinhos de mesa,Emirados Árabes Unidos,,,1973
Vinhos de mesa,Eslovênia,,,1973
Vinhos de mesa,Eslováquia,,,1973
Vinhos de mesa,Espanha,226805.0,117135.0,1973
Vinhos de mesa,Estados Unidos,,,1973
Vinhos de mesa,França,259060.0,435641.0,1973
Vinhos de mesa,Geórgia,,,1973
Vinhos de mesa,"Geórgia do Sul e Sandwich do Sul, Ilhas",,,1973
Vinhos de mesa,Grécia,,,1973
Vinhos de mesa,Hong Kong,,,1973
Vinhos de mesa,Hungria,,,1973
Vinhos de mesa,Indonésia,,,1973
Vinhos de mesa,Irlanda,,,1973
Vinhos de mesa,Israel,,,1973
Vinhos de mesa,Itália,258754.0,186334.0,1973
Vinhos de mesa,Japão,,,1973
Vinhos de mesa,Iugoslávia,1251.0,813.0,1973
Vinhos de mesa,Líbano,,,1973
Vinhos de mesa,Luxemburgo,,,1973
Vinhos de mesa,Macedônia,,,1973
Vinhos de mesa,Marrocos,,,1973
Vinhos de mesa,México,,,1973
Vinhos de mesa,Moldávia,,,1973
Vinhos de mesa,Montenegro,,,1973
Vinhos de mesa,Noruega,,,1973
Vinhos de mesa,Nova Zelândia,,,1973
Vinhos de mesa,Países Baixos (Holanda),,,1973
Vinhos de mesa,Panamá,,,1973
Vinhos de mesa,Paraguai,,,1973
Vinhos de mesa,Peru,,,1973
Vinhos de mesa,Porto Rico,,,1973
Vinhos de mesa,Portugal,2818320.0,2238637.0,1973
Vinhos de mesa,Reino Unido,,,1973
Vinhos de mesa,Republica Dominicana,,,1973
Vinhos de mesa,Romênia,,,1973
Vinhos de mesa,Rússia,,,1973
Vinhos de mesa,San Marino,,,1973
Vinhos de mesa,Sérvia,,,1973
Vinhos de mesa,Síria,,,1973
Vinhos de mesa,Suazilândia,,,1973
Vinhos de mesa,Suíça,,,1973
Vinhos de mesa,"Tcheca, República",,,1973
Vinhos de mesa,Tunísia,,,1973
Vinhos de mesa,Turquia,,,1973
Vinhos de mesa,Ucrânia,,,1973
Vinhos de mesa,Uruguai,,,1973
Vinhos de mesa,Não consta na tabela,,,1973
Vinhos de mesa,Não declarados,,,1973
Vinhos de mesa,Outros,4306.0,5775.0,1973
Espumantes,Africa do Sul,,,1973
Espumantes,Alemanha,2900.0,3130.0,1973
Espumantes,Argentina,39208.0,20230.0,1973
Espumantes,Austrália,,,1973
Espumantes,Áustria,,,1973
Espumantes,Bermudas,,,1973
Espumantes,Bahamas,,,1973
